Date,Customer ID,Customer Name,Product ID,Product Description,Price,Quantity,Total Order Size
2024-04-01,CUST003,Gamma Solutions,WID101,Standard Widget,$19.99,2,$39.98
2024-04-04,CUST007,Eta Systems,GAD202,Advanced Gadget,$45.50,1,$45.50
2024-04-07,CUST001,Alpha Corp,THM303,Small Thingamajig,$7.25,5,$36.25
2024-04-10,CUST005,Epsilon Group,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-04-13,CUST009,Iota Dynamics,CON505,Simple Contraption,$25.99,3,$77.97
2024-04-16,CUST002,Beta LLC,GIZ606,Compact Gizmo,$88.75,1,$88.75
2024-04-19,CUST006,Zeta Industries,WID101,Standard Widget,$19.99,4,$79.96
2024-04-22,CUST010,Kappa Co.,GAD202,Advanced Gadget,$45.50,2,$91.00
2024-04-25,CUST004,Delta Enterprises,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-04-28,CUST008,Theta Innovations,THM303,Small Thingamajig,$7.25,3,$21.75
2024-05-02,CUST003,Gamma Solutions,CON505,Simple Contraption,$25.99,5,$129.95
2024-05-05,CUST007,Eta Systems,GIZ606,Compact Gizmo,$88.75,2,$177.50
2024-05-08,CUST001,Alpha Corp,WID101,Standard Widget,$19.99,1,$19.99
2024-05-11,CUST005,Epsilon Group,GAD202,Advanced Gadget,$45.50,4,$182.00
2024-05-14,CUST009,Iota Dynamics,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-05-17,CUST002,Beta LLC,THM303,Small Thingamajig,$7.25,2,$14.50
2024-05-20,CUST006,Zeta Industries,CON505,Simple Contraption,$25.99,1,$25.99
2024-05-23,CUST010,Kappa Co.,GIZ606,Compact Gizmo,$88.75,1,$88.75
2024-05-26,CUST004,Delta Enterprises,WID101,Standard Widget,$19.99,3,$59.97
2024-05-29,CUST008,Theta Innovations,GAD202,Advanced Gadget,$45.50,2,$91.00
2024-06-01,CUST003,Gamma Solutions,THM303,Small Thingamajig,$7.25,4,$29.00
2024-06-04,CUST007,Eta Systems,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-06-07,CUST001,Alpha Corp,CON505,Simple Contraption,$25.99,2,$51.98
2024-06-10,CUST005,Epsilon Group,GIZ606,Compact Gizmo,$88.75,1,$88.75
2024-06-13,CUST009,Iota Dynamics,WID101,Standard Widget,$19.99,5,$99.95
2024-06-16,CUST002,Beta LLC,GAD202,Advanced Gadget,$45.50,1,$45.50
2024-06-19,CUST006,Zeta Industries,THM303,Small Thingamajig,$7.25,3,$21.75
2024-06-22,CUST010,Kappa Co.,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-06-25,CUST004,Delta Enterprises,CON505,Simple Contraption,$25.99,4,$103.96
2024-06-28,CUST008,Theta Innovations,WID101,Standard Widget,$19.99,2,$39.98
2024-07-02,CUST003,Gamma Solutions,GIZ606,Compact Gizmo,$88.75,1,$88.75
2024-07-05,CUST007,Eta Systems,GAD202,Advanced Gadget,$45.50,3,$136.50
2024-07-08,CUST001,Alpha Corp,THM303,Small Thingamajig,$7.25,1,$7.25
2024-07-11,CUST005,Epsilon Group,DOO404,Deluxe Doodad,$120.00,2,$240.00
2024-07-14,CUST009,Iota Dynamics,CON505,Simple Contraption,$25.99,1,$25.99
2024-07-17,CUST002,Beta LLC,WID101,Standard Widget,$19.99,5,$99.95
2024-07-20,CUST006,Zeta Industries,GIZ606,Compact Gizmo,$88.75,1,$88.75
2024-07-23,CUST010,Kappa Co.,GAD202,Advanced Gadget,$45.50,2,$91.00
2024-07-26,CUST004,Delta Enterprises,THM303,Small Thingamajig,$7.25,3,$21.75
2024-07-29,CUST008,Theta Innovations,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-08-01,CUST003,Gamma Solutions,WID101,Standard Widget,$19.99,4,$79.96
2024-08-04,CUST007,Eta Systems,CON505,Simple Contraption,$25.99,2,$51.98
2024-08-07,CUST001,Alpha Corp,GAD202,Advanced Gadget,$45.50,1,$45.50
2024-08-10,CUST005,Epsilon Group,GIZ606,Compact Gizmo,$88.75,1,$88.75
2024-08-13,CUST009,Iota Dynamics,THM303,Small Thingamajig,$7.25,5,$36.25
2024-08-16,CUST002,Beta LLC,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-08-19,CUST006,Zeta Industries,CON505,Simple Contraption,$25.99,3,$77.97
2024-08-22,CUST010,Kappa Co.,WID101,Standard Widget,$19.99,2,$39.98
2024-08-25,CUST004,Delta Enterprises,GIZ606,Compact Gizmo,$88.75,2,$177.50
2024-08-28,CUST008,Theta Innovations,GAD202,Advanced Gadget,$45.50,4,$182.00
2024-08-31,CUST003,Gamma Solutions,THM303,Small Thingamajig,$7.25,1,$7.25
2024-09-03,CUST007,Eta Systems,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-09-06,CUST001,Alpha Corp,WID101,Standard Widget,$19.99,3,$59.97
2024-09-09,CUST005,Epsilon Group,CON505,Simple Contraption,$25.99,5,$129.95
2024-09-12,CUST009,Iota Dynamics,GIZ606,Compact Gizmo,$88.75,1,$88.75
2024-09-15,CUST002,Beta LLC,GAD202,Advanced Gadget,$45.50,2,$91.00
2024-09-18,CUST006,Zeta Industries,THM303,Small Thingamajig,$7.25,4,$29.00
2024-09-21,CUST010,Kappa Co.,DOO404,Deluxe Doodad,$120.00,1,$120.00
2024-09-24,CUST004,Delta Enterprises,WID101,Standard Widget,$19.99,1,$19.99
2024-09-27,CUST008,Theta Innovations,CON505,Simple Contraption,$25.99,2,$51.98
2024-09-30,CUST003,Gamma Solutions,GIZ606,Compact Gizmo,$88.75,2,$177.50
